Drug name,Drug Id,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Max conc,RMSE,Z score,Dataset version
Camptothecin,1003,HCC1954,749709,BRCA,breast,breast,-.25108303340632082,.975202547110535,.10000000000000001,.11237279450162292,.90663084980462483,GDSC2
Camptothecin,1003,HCC1143,749710,BRCA,breast,breast,1.3433150301754584,.97846417807756336,.10000000000000001,.067577100179845806,1.6835667475265914,GDSC2
Camptothecin,1003,HCC1187,749711,BRCA,breast,breast,1.7369851070213376,.99509953290002517,.10000000000000001,.04520472949755,1.8753986504539124,GDSC2
Camptothecin,1003,HCC1395,749712,BRCA,breast,breast,-2.3090780596334204,.86783176276318008,.10000000000000001,.10728246855518581,-.096211696063207425,GDSC2
Camptothecin,1003,HCC1599,749713,BRCA,breast,breast,-3.1066839512639266,.77753172147900351,.10000000000000001,.098286393418675524,-.48487790408039494,GDSC2
Camptothecin,1003,HCC1937,749714,BRCA,breast,breast,.22491585932849306,.96463729406372312,.10000000000000001,.065601315907761706,1.138580847417386,GDSC2
Camptothecin,1003,HCC2157,749715,BRCA,breast,breast,-1.7283013601568238,.90512032878761772,.10000000000000001,.13645189377489211,.18679558843523247,GDSC2
Camptothecin,1003,HCC2218,749716,BRCA,breast,breast,1.0544170327697906,.99428232019571827,.10000000000000001,.030073468732385662,1.5427893406221842,GDSC2
Camptothecin,1003,HCC38,749717,BRCA,breast,breast,-2.0781811077551877,.86679914685446513,.10000000000000001,.071619105228402327,.016302320785119648,GDSC2
Camptothecin,1003,T47D,905945,BRCA,breast,breast,-.90624457322048868,.94526698784903296,.10000000000000001,.081449709392169514,.58737649876450393,GDSC2
Camptothecin,1003,MCF7,905946,BRCA,breast,breast,-1.1261695993095708,.90842536492269588,.10000000000000001,.1131210026720032,.48020900309394499,GDSC2
Camptothecin,1003,BT-549,905951,BRCA,breast,breast,-1.2364871487195856,.90390771513381707,.10000000000000001,.090071315066700325,.4264522492173049,GDSC2
Camptothecin,1003,Hs-578-T,905957,BRCA,breast,breast,-.28723175898492009,.96225207645409438,.10000000000000001,.10272080654221215,.88901589956075588,GDSC2
Camptothecin,1003,MDA-MB-231,905960,BRCA,breast,breast,-2.2271557860206501,.89131426397920888,.10000000000000001,.082552552152683617,-.056291705788145484,GDSC2
Camptothecin,1003,BT-20,906801,BRCA,breast,breast,-2.2634295556859718,.90725929888841095,.10000000000000001,.095453197721117128,-.073967588895639619,GDSC2
Camptothecin,1003,COLO-824,906812,BRCA,breast,breast,-.043673919686164839,.96619749485630757,.10000000000000001,.066493623934740925,1.0076994534642916,GDSC2
Camptothecin,1003,CAL-120,906826,BRCA,breast,breast,-1.1525281384930302,.8477728235125046,.10000000000000001,.074185811539239352,.46736472300423187,GDSC2
Camptothecin,1003,DU-4475,906844,BRCA,breast,breast,-4.2711046698485999,.7098770010679879,.10000000000000001,.083720395845501741,-1.0522896922553608,GDSC2
Camptothecin,1003,EFM-19,906851,BRCA,breast,breast,.16989105182966491,.96624170889928496,.10000000000000001,.085699233735707467,1.1117677514988913,GDSC2
Camptothecin,1003,EVSA-T,906862,BRCA,breast,breast,-1.2685418827332853,.96556218335567101,.10000000000000001,.10025821833004513,.41083226439919418,GDSC2
Camptothecin,1003,HCC1419,907045,BRCA,breast,breast,.84631989329897905,.99201014744239535,.10000000000000001,.068406290347143045,1.4413854681758504,GDSC2
Camptothecin,1003,HCC1569,907046,BRCA,breast,breast,.10491295501253382,.98129782574360502,.10000000000000001,.060620351621979228,1.0801045068324546,GDSC2
Camptothecin,1003,HCC70,907048,BRCA,breast,breast,.12155305038724672,.98843882791764126,.10000000000000001,.054704593757537383,1.0882130762878695,GDSC2
Camptothecin,1003,MDA-MB-175-VII,908120,BRCA,breast,breast,-2.1552519098828107,.79718239768974408,.10000000000000001,.11200696833411848,-.021253590882672896,GDSC2
Camptothecin,1003,MDA-MB-361,908121,BRCA,breast,breast,-.95932063899122977,.95668926999799631,.10000000000000001,.086114930966569872,.56151300723811348,GDSC2
Camptothecin,1003,MDA-MB-453,908122,BRCA,breast,breast,-2.0146329145472253,.88786327790215258,.10000000000000001,.075299666235527182,.047268786228336655,GDSC2
Camptothecin,1003,MDA-MB-468,908123,BRCA,breast,breast,-2.5542395535282525,.87010206740180396,.10000000000000001,.12841227139794467,-.21567669648985277,GDSC2
Camptothecin,1003,MRK-nu-1,908151,BRCA,breast,breast,-2.2433418766026008,.92660667304520639,.10000000000000001,.13689510867919613,-.064179042773895564,GDSC2
Camptothecin,1003,OCUB-M,909256,BRCA,breast,breast,-1.9677639002765743,.92848008758293843,.10000000000000001,.16234776792668268,.070107637146098134,GDSC2
Camptothecin,1003,UACC-893,909778,BRCA,breast,breast,-.52471725449288886,.95646013028916776,.10000000000000001,.058295850951119804,.77329134440548308,GDSC2
Camptothecin,1003,ZR-75-30,909907,BRCA,breast,breast,2.6382659244339597,.98077259501766956,.10000000000000001,.058472462587226291,2.3145847213420039,GDSC2
Camptothecin,1003,AU565,910704,BRCA,breast,breast,-3.1402162154947626,.80733108385813235,.10000000000000001,.082689305748866793,-.501217876141267,GDSC2
Camptothecin,1003,CAL-85-1,910852,BRCA,breast,breast,-1.1775696047253792,.93212584937852727,.10000000000000001,.064493249993773094,.45516224076852357,GDSC2
Camptothecin,1003,UACC-812,910910,BRCA,breast,breast,-2.6957479356797225,.81748630094929875,.10000000000000001,.11652186625503813,-.28463246383132274,GDSC2
